iata,name,country,region,latitude,longitude,facility_type,init_capacity,security_level,in_charge
WNA,Napakiak Airport,US,US-AK,60.69029998779297,-161.97900390625,small_airport,0,10,False
ANC,Ted Stevens Anchorage International Airport,US,US-AK,61.174400329589844,-149.99600219726562,large_airport,3206,30,False
ANI,Aniak Airport,US,US-AK,61.581600189208984,-159.54299926757812,medium_airport,0,20,False
ENN,Nenana Municipal Airport,US,US-AK,64.54730224609375,-149.07400512695312,medium_airport,0,20,False
NNL,Nondalton Airport,US,US-AK,59.980201721191,-154.8390045166,small_airport,0,10,False
ANN,Annette Island Airport,US,US-AK,55.04240036010742,-131.57200622558594,medium_airport,0,20,False
NUL,Nulato Airport,US,US-AK,64.729301,-158.074005,small_airport,0,10,False
ANV,Anvik Airport,US,US-AK,62.646702,-160.190994,medium_airport,0,20,False
KNW,New Stuyahok Airport,US,US-AK,59.4499015808,-157.32800293,small_airport,0,10,False
OBU,Kobuk Airport,US,US-AK,66.9123001099,-156.897003174,small_airport,0,10,False
PCA,Portage Creek Airport,US,US-AK,58.9065,-157.714,small_airport,0,10,False
HNH,Hoonah Airport,US,US-AK,58.0961,-135.410111,small_airport,0,10,False
OME,Nome Airport,US,US-AK,64.51219940185547,-165.44500732421875,medium_airport,120,20,False
OOK,Toksook Bay Airport,US,US-AK,60.54140091,-165.0870056,small_airport,0,10,False
ORT,Northway Airport,US,US-AK,62.9612999,-141.9290009,medium_airport,0,20,False
OTZ,Ralph Wien Memorial Airport,US,US-AK,66.88469696,-162.598999,medium_airport,118,20,False
NLG,Nelson Lagoon Airport,US,US-AK,56.007499694824,-161.16000366211,small_airport,0,10,False
STG,St George Airport,US,US-AK,56.578300476100004,-169.662002563,medium_airport,0,20,False
KPC,Port Clarence Coast Guard Station,US,US-AK,65.2537002563,-166.85899353,medium_airport,0,20,False
KPV,Perryville Airport,US,US-AK,55.905998,-159.162993,small_airport,0,10,False
PSG,Petersburg James A Johnson Airport,US,US-AK,56.80170059,-132.9450073,medium_airport,120,20,False
PTH,Port Heiden Airport,US,US-AK,56.95909881591797,-158.63299560546875,medium_airport,0,20,False
PKA,Napaskiak Airport,US,US-AK,60.70289993,-161.7779999,small_airport,0,10,False
PTU,Platinum Airport,US,US-AK,59.01139831542969,-161.82000732421875,medium_airport,0,20,False
PIP,Pilot Point Airport,US,US-AK,57.5803985596,-157.572006226,small_airport,0,10,False
PHO,Point Hope Airport,US,US-AK,68.34880065917969,-166.7989959716797,small_airport,0,10,False
